epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,7142.93,0.87448,1.34725,0.63048,1.09138,0.97585,0.84604,0.91401,0.68389,0.94648,0.81122,0.8935,0.56078,1.1357,2.10035,0.74317,1.20479,0.000189757,0.000189757,0.000189757
80,7231.12,0.82999,1.15863,0.58236,1.05636,0.96101,0.80927,0.88651,0.68192,0.96101,0.80927,0.88651,0.5718,1.14586,2.06727,0.74329,1.22348,0.000181511,0.000181511,0.000181511
81,7318.71,0.82566,1.30469,0.59769,1.06599,0.93299,0.88341,0.91409,0.67651,0.90916,0.85423,0.88581,0.57399,1.1545,2.04925,0.73871,1.23281,0.000173264,0.000173264,0.000173264
82,7406.01,0.85417,1.26348,0.57518,1.0669,0.93299,0.88341,0.91409,0.67651,0.90916,0.85423,0.88581,0.57399,1.1545,2.04925,0.73871,1.23281,0.000165017,0.000165017,0.000165017
83,7494.64,0.88003,1.39794,0.60265,1.08281,0.92361,0.88573,0.9139,0.6732,0.90097,0.85674,0.8834,0.58862,1.11676,2.06801,0.72917,1.18785,0.000156771,0.000156771,0.000156771
84,7582.63,0.80881,1.20313,0.56349,1.03427,0.92844,0.88923,0.91909,0.68667,0.98657,0.80512,0.88654,0.61344,1.07383,1.93316,0.70023,1.14381,0.000148524,0.000148524,0.000148524
85,7670.33,0.81812,1.23438,0.56902,1.0712,0.93339,0.88407,0.91591,0.7036,0.93339,0.88407,0.91591,0.62304,1.04386,1.89703,0.7014,1.12632,0.000140277,0.000140277,0.000140277
86,7757.9,0.8617,1.29867,0.59467,1.07977,0.93339,0.88407,0.91591,0.7036,0.93339,0.88407,0.91591,0.62304,1.04386,1.89703,0.7014,1.12632,0.000132031,0.000132031,0.000132031
87,7849.08,0.823,1.22834,0.57135,1.04326,0.91894,0.89108,0.91771,0.71339,0.91894,0.89108,0.91771,0.6242,1.01443,1.84726,0.67685,1.09337,0.000123784,0.000123784,0.000123784
88,7937.1,0.86369,1.26697,0.58733,1.06291,0.92174,0.89095,0.91389,0.72499,0.91645,0.87959,0.91629,0.62727,1.00947,1.8437,0.67274,1.09572,0.000115537,0.000115537,0.000115537
89,8024.43,0.80682,1.20534,0.5547,1.06105,0.92174,0.89095,0.91389,0.72499,0.91645,0.87959,0.91629,0.62727,1.00947,1.8437,0.67274,1.09572,0.00010729,0.00010729,0.00010729
90,8113.55,0.81184,1.25874,0.55601,1.05152,0.92682,0.89175,0.91393,0.71727,0.92682,0.89175,0.91393,0.59735,1.00485,1.88073,0.67501,1.10405,9.90437e-05,9.90437e-05,9.90437e-05
91,8201.23,0.76757,1.12189,0.50072,0.99998,0.95767,0.83522,0.91107,0.70659,0.95767,0.83522,0.90726,0.5751,1.02763,1.95412,0.68844,1.12067,9.0797e-05,9.0797e-05,9.0797e-05
92,8288.17,0.73138,1.08513,0.47783,0.99704,0.95767,0.83522,0.91107,0.70659,0.95767,0.83522,0.90726,0.5751,1.02763,1.95412,0.68844,1.12067,8.25503e-05,8.25503e-05,8.25503e-05
93,8374.85,0.72809,1.06458,0.47966,1.02129,0.97391,0.84218,0.91208,0.69857,0.96925,0.8349,0.90749,0.57609,1.03777,1.96283,0.66634,1.12475,7.43036e-05,7.43036e-05,7.43036e-05
94,8461.98,0.7649,1.10167,0.4802,1.01771,0.96324,0.84658,0.91393,0.69551,0.96324,0.84658,0.91393,0.57993,1.03291,1.98572,0.64506,1.12087,6.60569e-05,6.60569e-05,6.60569e-05
95,8548.76,0.75924,1.06208,0.48767,1.01226,0.97574,0.8402,0.91402,0.7,0.97574,0.8402,0.91402,0.57799,1.04318,1.93753,0.64379,1.13379,5.78102e-05,5.78102e-05,5.78102e-05
96,8635.7,0.67944,1.02045,0.44985,0.96832,0.97574,0.8402,0.91402,0.7,0.97574,0.8402,0.91402,0.57799,1.04318,1.93753,0.64379,1.13379,4.95635e-05,4.95635e-05,4.95635e-05
97,8725.87,0.77067,1.08816,0.48543,1.02783,0.91991,0.8927,0.91521,0.70386,0.91991,0.8927,0.91521,0.58531,1.00856,1.90373,0.61246,1.11672,4.13168e-05,4.13168e-05,4.13168e-05
98,8812.67,0.77012,1.11399,0.47683,1.0025,0.91736,0.89378,0.91402,0.70663,0.91736,0.89378,0.91402,0.60543,1.00588,1.91775,0.60469,1.11929,3.30701e-05,3.30701e-05,3.30701e-05
99,8899.77,0.76324,1.12194,0.50031,1.03185,0.91736,0.89378,0.91402,0.70663,0.91736,0.89378,0.91402,0.60543,1.00588,1.91775,0.60469,1.11929,2.48234e-05,2.48234e-05,2.48234e-05
100,8987.29,0.71771,1.0331,0.47482,0.99869,0.96728,0.83274,0.91227,0.71091,0.96728,0.83274,0.91227,0.58817,1.00461,1.92912,0.61935,1.11238,1.65767e-05,1.65767e-05,1.65767e-05
